project_id,encoded_project_id,project_name,hrera_project_name,registration_number,quarter_end_date,source_quarter_end_date,quarter_label,total_units,total_plots,total_apartments,total_garages,sold_upto_registration_units,sold_in_quarter_units,plots_sold_in_quarter,apartments_sold_in_quarter,garages_sold_in_quarter,cumulative_sold_units,cumulative_absorption_pct,cumulative_sold_units_raw,capped_at_total_units,plots_sold_upto_registration,apartments_sold_upto_registration,garages_sold_upto_registration,plinth_code,rera_number,quarterly_schedule_url
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,31/03/2026,JAN-MAR,848,0,848,0,0,12,0,12,0,532,62.74%,532,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-06-30,31/06/2026,APR-JUN,848,0,848,0,0,40,0,40,0,572,67.45%,572,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,30/09/2024,JUL-SEP,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,31/12/2024,OCT-DEC,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,31/03/2025,JAN-MAR,848,0,504,0,0,157,0,157,0,157,18.51%,157,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,31/06/2025,APR-JUN,848,0,848,0,0,198,0,198,0,355,41.86%,355,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,30/09/2025,JUL-SEP,848,0,848,0,0,129,0,129,0,484,57.08%,484,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-12-31,31/12/2025,OCT-DEC,848,0,848,0,0,36,0,36,0,520,61.32%,520,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,31/03/2026,JAN-MAR,848,0,848,0,0,12,0,12,0,532,62.74%,532,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-06-30,31/06/2026,APR-JUN,848,0,848,0,0,40,0,40,0,572,67.45%,572,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,30/09/2024,JUL-SEP,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,31/12/2024,OCT-DEC,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,31/03/2025,JAN-MAR,848,0,504,0,0,157,0,157,0,157,18.51%,157,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,31/06/2025,APR-JUN,848,0,848,0,0,198,0,198,0,355,41.86%,355,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,30/09/2025,JUL-SEP,848,0,848,0,0,129,0,129,0,484,57.08%,484,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-12-31,31/12/2025,OCT-DEC,848,0,848,0,0,36,0,36,0,520,61.32%,520,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,31/03/2026,JAN-MAR,848,0,848,0,0,12,0,12,0,532,62.74%,532,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-06-30,31/06/2026,APR-JUN,848,0,848,0,0,40,0,40,0,572,67.45%,572,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,30/09/2024,JUL-SEP,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,31/12/2024,OCT-DEC,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,31/03/2025,JAN-MAR,848,0,504,0,0,157,0,157,0,157,18.51%,157,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,31/06/2025,APR-JUN,848,0,848,0,0,198,0,198,0,355,41.86%,355,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,30/09/2025,JUL-SEP,848,0,848,0,0,129,0,129,0,484,57.08%,484,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-12-31,31/12/2025,OCT-DEC,848,0,848,0,0,36,0,36,0,520,61.32%,520,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-03-31,31/03/2026,JAN-MAR,848,0,848,0,0,12,0,12,0,532,62.74%,532,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2026-06-30,31/06/2026,APR-JUN,848,0,848,0,0,40,0,40,0,572,67.45%,572,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,30/09/2024,JUL-SEP,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,31/12/2024,OCT-DEC,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-03-31,31/03/2025,JAN-MAR,848,0,504,0,0,157,0,157,0,157,18.51%,157,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-06-30,31/06/2025,APR-JUN,848,0,848,0,0,198,0,198,0,355,41.86%,355,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2025-09-30,30/09/2025,JUL-SEP,848,0,848,0,0,129,0,129,0,484,57.08%,484,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
